,chain,timestamp,metric_name,value
377,ETH,1631145600000,act.addr.cnt,531349
378,ETH,1631232000000,act.addr.cnt,570844
379,ETH,1631318400000,act.addr.cnt,627703
380,ETH,1631404800000,act.addr.cnt,571553
381,ETH,1631491200000,act.addr.cnt,631801
382,ETH,1631577600000,act.addr.cnt,582577
383,ETH,1631664000000,act.addr.cnt,573832
384,ETH,1631750400000,act.addr.cnt,548934
385,ETH,1631836800000,act.addr.cnt,524420
386,ETH,1631923200000,act.addr.cnt,536379
387,ETH,1632009600000,act.addr.cnt,516798
388,ETH,1632096000000,act.addr.cnt,495260
389,ETH,1632182400000,act.addr.cnt,524491
390,ETH,1632268800000,act.addr.cnt,534706
391,ETH,1632355200000,act.addr.cnt,534322
392,ETH,1632441600000,act.addr.cnt,506370
393,ETH,1632528000000,act.addr.cnt,520156
394,ETH,1632614400000,act.addr.cnt,473720
395,ETH,1632700800000,act.addr.cnt,502883
396,ETH,1632787200000,act.addr.cnt,495483
397,ETH,1632873600000,act.addr.cnt,507213
398,ETH,1632960000000,act.addr.cnt,499027
399,ETH,1633046400000,act.addr.cnt,571555
400,ETH,1633132800000,act.addr.cnt,520148
401,ETH,1633219200000,act.addr.cnt,522883
402,ETH,1633305600000,act.addr.cnt,495269
403,ETH,1633392000000,act.addr.cnt,562664
404,ETH,1633478400000,act.addr.cnt,663598
405,ETH,1633564800000,act.addr.cnt,629638
406,ETH,1633651200000,act.addr.cnt,600444
407,ETH,1633737600000,act.addr.cnt,585764
408,ETH,1633824000000,act.addr.cnt,537498
409,ETH,1633910400000,act.addr.cnt,538819
410,ETH,1633996800000,act.addr.cnt,546485
411,ETH,1634083200000,act.addr.cnt,531986
412,ETH,1634169600000,act.addr.cnt,554284
413,ETH,1634256000000,act.addr.cnt,556422
414,ETH,1634342400000,act.addr.cnt,583224
415,ETH,1634428800000,act.addr.cnt,551919
416,ETH,1634515200000,act.addr.cnt,571995
417,ETH,1634601600000,act.addr.cnt,590942
418,ETH,1634688000000,act.addr.cnt,617868
419,ETH,1634774400000,act.addr.cnt,614827
420,ETH,1634860800000,act.addr.cnt,599969
421,ETH,1634947200000,act.addr.cnt,613429
422,ETH,1635033600000,act.addr.cnt,597173
423,ETH,1635120000000,act.addr.cnt,601354
424,ETH,1635206400000,act.addr.cnt,611278
425,ETH,1635292800000,act.addr.cnt,619065
426,ETH,1635379200000,act.addr.cnt,692895
427,ETH,1635465600000,act.addr.cnt,711170
428,ETH,1635552000000,act.addr.cnt,659890
429,ETH,1635638400000,act.addr.cnt,627758
430,ETH,1635724800000,act.addr.cnt,659286
431,ETH,1635811200000,act.addr.cnt,676773
432,ETH,1635897600000,act.addr.cnt,698046
433,ETH,1635984000000,act.addr.cnt,667720
434,ETH,1636070400000,act.addr.cnt,653773
435,ETH,1636156800000,act.addr.cnt,626350
436,ETH,1636243200000,act.addr.cnt,635935
437,ETH,1636329600000,act.addr.cnt,652986
438,ETH,1636416000000,act.addr.cnt,615664
439,ETH,1636502400000,act.addr.cnt,667074
440,ETH,1636588800000,act.addr.cnt,648382
441,ETH,1636675200000,act.addr.cnt,643078
442,ETH,1636761600000,act.addr.cnt,645915
443,ETH,1636848000000,act.addr.cnt,643454
444,ETH,1636934400000,act.addr.cnt,606036
445,ETH,1637020800000,act.addr.cnt,609879
446,ETH,1637107200000,act.addr.cnt,695412
447,ETH,1637193600000,act.addr.cnt,591159
448,ETH,1637280000000,act.addr.cnt,609855
449,ETH,1637366400000,act.addr.cnt,557040
450,ETH,1637452800000,act.addr.cnt,607664
451,ETH,1637539200000,act.addr.cnt,546021
452,ETH,1637625600000,act.addr.cnt,580961
453,ETH,1637712000000,act.addr.cnt,603667
454,ETH,1637798400000,act.addr.cnt,593204
455,ETH,1637884800000,act.addr.cnt,600397
456,ETH,1637971200000,act.addr.cnt,550278
457,ETH,1638057600000,act.addr.cnt,527847
458,ETH,1638144000000,act.addr.cnt,600953
459,ETH,1638230400000,act.addr.cnt,626327
460,ETH,1638316800000,act.addr.cnt,580964
461,ETH,1638403200000,act.addr.cnt,608130
462,ETH,1638489600000,act.addr.cnt,565387
463,ETH,1638576000000,act.addr.cnt,552443
464,ETH,1638662400000,act.addr.cnt,827717
465,ETH,1638748800000,act.addr.cnt,590753
466,ETH,1638835200000,act.addr.cnt,596212
467,ETH,1638921600000,act.addr.cnt,646034
468,ETH,1639008000000,act.addr.cnt,607680
469,ETH,1639094400000,act.addr.cnt,615403
470,ETH,1639180800000,act.addr.cnt,580530
471,ETH,1639267200000,act.addr.cnt,597667
472,ETH,1639353600000,act.addr.cnt,610120
473,ETH,1639440000000,act.addr.cnt,617852
474,ETH,1639526400000,act.addr.cnt,607024
475,ETH,1639612800000,act.addr.cnt,601544
476,ETH,1639699200000,act.addr.cnt,615024
477,ETH,1639785600000,act.addr.cnt,567904
478,ETH,1639872000000,act.addr.cnt,565356
479,ETH,1639958400000,act.addr.cnt,591471
480,ETH,1640044800000,act.addr.cnt,597366
481,ETH,1640131200000,act.addr.cnt,628067
482,ETH,1640217600000,act.addr.cnt,593941
483,ETH,1640304000000,act.addr.cnt,629178
484,ETH,1640390400000,act.addr.cnt,609519
485,ETH,1640476800000,act.addr.cnt,592617
486,ETH,1640563200000,act.addr.cnt,621785
487,ETH,1640649600000,act.addr.cnt,595033
488,ETH,1640736000000,act.addr.cnt,564075
489,ETH,1640822400000,act.addr.cnt,602455
490,ETH,1640908800000,act.addr.cnt,578541
491,ETH,1640995200000,act.addr.cnt,581311
492,ETH,1641081600000,act.addr.cnt,551999
493,ETH,1641168000000,act.addr.cnt,591355
494,ETH,1641254400000,act.addr.cnt,601545
495,ETH,1641340800000,act.addr.cnt,632108
496,ETH,1641427200000,act.addr.cnt,607698
497,ETH,1641513600000,act.addr.cnt,589284
498,ETH,1641600000000,act.addr.cnt,596126
499,ETH,1641686400000,act.addr.cnt,534490
500,ETH,1641772800000,act.addr.cnt,524871
501,ETH,1641859200000,act.addr.cnt,591387
502,ETH,1641945600000,act.addr.cnt,634923
503,ETH,1642032000000,act.addr.cnt,658809
504,ETH,1642118400000,act.addr.cnt,593127
505,ETH,1642204800000,act.addr.cnt,616539
506,ETH,1642291200000,act.addr.cnt,591291
507,ETH,1642377600000,act.addr.cnt,592964
508,ETH,1642464000000,act.addr.cnt,584160
509,ETH,1642550400000,act.addr.cnt,606824
510,USDT,1620604800000,act.addr.cnt,135423
511,USDT,1620691200000,act.addr.cnt,128530
512,USDT,1620777600000,act.addr.cnt,118565
513,USDT,1620864000000,act.addr.cnt,139794
514,USDT,1620950400000,act.addr.cnt,131330
515,USDT,1621036800000,act.addr.cnt,105192
516,USDT,1621123200000,act.addr.cnt,94009
517,USDT,1621209600000,act.addr.cnt,114619
518,USDT,1621296000000,act.addr.cnt,97601
519,USDT,1621382400000,act.addr.cnt,104945
520,USDT,1621468800000,act.addr.cnt,111291
521,USDT,1621555200000,act.addr.cnt,100253
522,USDT,1621641600000,act.addr.cnt,93745
523,USDT,1621728000000,act.addr.cnt,89999
524,USDT,1621814400000,act.addr.cnt,100483
525,USDT,1621900800000,act.addr.cnt,97942
526,USDT,1621987200000,act.addr.cnt,95043
527,USDT,1622073600000,act.addr.cnt,90480
528,USDT,1622160000000,act.addr.cnt,89658
529,USDT,1622246400000,act.addr.cnt,83869
