,chain,total_relays,total_pokt,point,first_time,last_time
214,Solana Mainnet,299480,2665.372,12,2021-12-12T00:02:04.743Z,0
215,Ethereum Ropsten,164171,1461.1219,12,2021-12-12T00:02:04.743Z,0
216,BSC Mainnet,137579,1224.4531,12,2021-12-12T00:02:04.743Z,0
217,Ethereum Rinkeby,341191,3036.5999,12,2021-12-12T00:02:04.743Z,0
218,xDAI,951597,8469.2133,12,2021-12-12T00:02:04.743Z,0
219,FUSE Mainnet,6972944,62059.2016,12,2021-12-12T00:02:04.743Z,0
220,Ethereum,33693333,299870.6637,12,2021-12-12T00:02:04.743Z,0
221,POKT Mainnet,112228,998.8292,12,2021-12-12T00:02:04.743Z,0
222,FUSE Archival,116649,1038.1761,12,2021-12-12T00:02:04.743Z,0
223,Avalanche Mainnet,1441013,12825.0157,12,2021-12-12T00:02:04.743Z,0
224,Ethereum Kovan,161613,1438.3557,12,2021-12-12T00:02:04.743Z,0
225,IoTeX Mainnet,140641,1251.7049,12,2021-12-12T00:02:04.743Z,0
226,xDAI Archival,147918,1316.4702,12,2021-12-12T00:02:04.743Z,0
227,FUSE Mainnet,6866169,61108.9041,13,2021-12-13T00:08:27.458Z,0
228,Polygon Mainnet,2965314,26391.2946,13,2021-12-13T00:08:27.458Z,0
229,Ethereum Kovan,137731,1225.8059,13,2021-12-13T00:08:27.458Z,0
230,Avalanche Mainnet,658296,5858.8344,13,2021-12-13T00:08:27.458Z,0
231,Ethereum Ropsten,159602,1420.4578,13,2021-12-13T00:08:27.458Z,0
232,Ethereum Goerli,467556,4161.2484,13,2021-12-13T00:08:27.458Z,0
233,POKT Mainnet,113581,1010.8709,13,2021-12-13T00:08:27.458Z,0
234,ETH Archival Trace,3205024,28524.7136,13,2021-12-13T00:08:27.458Z,0
235,BSC Mainnet,138301,1230.8789,13,2021-12-13T00:08:27.458Z,0
236,xDAI,1338391,11911.6799,13,2021-12-13T00:08:27.458Z,0
237,Ethereum,35812634,318732.4426,13,2021-12-13T00:08:27.458Z,0
238,FUSE Archival,121519,1081.5191,13,2021-12-13T00:08:27.458Z,0
239,Ethereum Archival,577,5.1353,13,2021-12-13T00:08:27.458Z,0
240,xDAI Archival,118013,1050.3156999999999,13,2021-12-13T00:08:27.458Z,0
241,Polygon Archival,139291,1239.6899,13,2021-12-13T00:08:27.458Z,0
242,Ethereum Rinkeby,370780,3299.942,13,2021-12-13T00:08:27.458Z,0
243,IoTeX Mainnet,146565,1304.4285,13,2021-12-13T00:08:27.458Z,0
244,Harmony Shard 0,126055213,1121891.3957,13,2021-12-13T00:08:27.458Z,0
245,Solana Mainnet,303490,2701.061,13,2021-12-13T00:08:27.458Z,0
246,xDAI,1497431,13327.1359,14,2021-12-14T00:08:01.631Z,0
247,Ethereum Goerli,410543,3653.8327,14,2021-12-14T00:08:01.631Z,0
248,Ethereum Kovan,123345,1097.7705,14,2021-12-14T00:08:01.631Z,0
249,Harmony Shard 0,113788302,1012715.8878,14,2021-12-14T00:08:01.631Z,0
250,xDAI Archival,93850,835.265,14,2021-12-14T00:08:01.631Z,0
251,Ethereum Rinkeby,406927,3621.6503,14,2021-12-14T00:08:01.631Z,0
252,Avalanche Mainnet,570035,5073.3115,14,2021-12-14T00:08:01.631Z,0
253,Polygon Archival,138237,1230.3093,14,2021-12-14T00:08:01.631Z,0
254,BSC Mainnet,63663,566.6007,14,2021-12-14T00:08:01.631Z,0
255,Ethereum Ropsten,141988,1263.6932,14,2021-12-14T00:08:01.631Z,0
256,POKT Mainnet,109775,976.9975,14,2021-12-14T00:08:01.631Z,0
257,Polygon Mainnet,2329847,20735.6383,14,2021-12-14T00:08:01.631Z,0
258,Ethereum,34293570,305212.773,14,2021-12-14T00:08:01.631Z,0
259,FUSE Mainnet,6699300,59623.77,14,2021-12-14T00:08:01.631Z,0
260,ETH Archival Trace,3299105,29362.0345,14,2021-12-14T00:08:01.631Z,0
261,FUSE Archival,108820,968.498,14,2021-12-14T00:08:01.631Z,0
262,Solana Mainnet,259452,2309.1228,14,2021-12-14T00:08:01.631Z,0
263,IoTeX Mainnet,121871,1084.6519,14,2021-12-14T00:08:01.631Z,0
264,Solana Mainnet,295271,2627.9119,Dec 15,2021-12-15T00:10:38.419Z,0
265,Ethereum,37066680,329893.452,Dec 15,2021-12-15T00:10:38.419Z,0
266,xDAI Archival,116911,1040.5079,Dec 15,2021-12-15T00:10:38.419Z,0
267,BSC Mainnet,142079,1264.5031,Dec 15,2021-12-15T00:10:38.419Z,0
268,POKT Mainnet,108635,966.8515,Dec 15,2021-12-15T00:10:38.419Z,0
269,Polygon Mainnet,2358412,20989.8668,Dec 15,2021-12-15T00:10:38.419Z,0
270,FUSE Mainnet,6209026,55260.3314,Dec 15,2021-12-15T00:10:38.419Z,0
271,FUSE Archival,121066,1077.4874,Dec 15,2021-12-15T00:10:38.419Z,0
